zone,state,city,name,type,establishment_year,time_needed_to_visit_in_hrs,google_review_rating,entrance_fee_in_inr,airport_with_50km_radius,weekly_off,significance,dslr_allowed,number_of_google_review_in_lakhs,best_time_to_visit,score,features,uniq_id
Northern,Delhi,Delhi,India Gate,War Memorial,1921,0.5,4.6,0,Yes,Monday,Historical,Yes,2.6,Evening,13.1,War Memorial Historical Evening,1
Northern,Delhi,Delhi,Humayun's Tomb,Tomb,1572,2.0,4.5,30,Yes,Monday,Historical,Yes,0.4,Afternoon,9.6,Tomb Historical Afternoon,2
Northern,Delhi,Delhi,Akshardham Temple,Temple,2005,5.0,4.6,60,Yes,Monday,Religious,No,0.4,Afternoon,9.799999999999999,Temple Religious Afternoon,3
Northern,Delhi,Delhi,Waste to Wonder Park,Theme Park,2019,2.0,4.1,50,Yes,Monday,Environmental,Yes,0.27,Evening,8.604999999999999,Theme Park Environmental Evening,4
Northern,Delhi,Delhi,Jantar Mantar,Observatory,1724,2.0,4.2,15,Yes,Monday,Scientific,Yes,0.31,Morning,8.865,Observatory Scientific Morning,5
Northern,Delhi,Delhi,Chandni Chowk,Market,1700,3.0,4.2,0,Yes,Sunday,Market,Yes,0.25,Afternoon,8.775,Market Market Afternoon,6
Northern,Delhi,Delhi,Lotus Temple,Temple,1986,1.0,4.5,0,Yes,Monday,Religious,Yes,0.59,Evening,9.885,Temple Religious Evening,7
Northern,Delhi,Delhi,Red Fort,Fort,1648,2.0,4.5,35,Yes,Monday,Historical,Yes,1.5,Afternoon,11.25,Fort Historical Afternoon,8
Northern,Delhi,Delhi,Agrasen ki Baoli,Stepwell,1400,1.0,4.2,0,Yes,Monday,Historical,Yes,0.41,Afternoon,9.015,Stepwell Historical Afternoon,9
Northern,Delhi,Delhi,Sunder Nursery,Park,1600,2.0,4.6,0,Yes,Monday,Botanical,Yes,0.16,Afternoon,9.44,Park Botanical Afternoon,10
Northern,Delhi,Delhi,Garden of Five Senses,Park,2003,2.0,4.1,35,Yes,Monday,Botanical,Yes,0.23,Morning,8.545,Park Botanical Morning,11
Northern,Delhi,Delhi,Lodhi Garden,Park,1500,1.0,4.5,0,Yes,Monday,Botanical,Yes,0.48,All,9.72,Park Botanical All,12
Northern,Delhi,Delhi,National Gallery of Modern Art,Museum,1954,3.0,4.5,20,Yes,Monday,Artistic,Yes,0.08,All,9.12,Museum Artistic All,13
Northern,Delhi,Delhi,National Zoological Park ,Zoo,1959,3.0,4.1,80,Yes,Friday,Environmental,Yes,0.41,All,8.815,Zoo Environmental All,14
Northern,Delhi,Delhi,Qutub Minar,Monument,1192,1.0,4.5,35,Yes,Monday,Historical,Yes,1.37,Afternoon,11.055,Monument Historical Afternoon,15
Northern,Delhi,Delhi,National Science Centre,Science,1992,5.0,4.4,70,Yes,Monday,Scientific,Yes,0.23,All,9.145000000000001,Science Scientific All,16
Western,Maharastra,Mumbai,Marine Drive,Promenade,Unknown,2.0,4.5,0,Yes,Monday,Scenic,Yes,1.5,Evening,11.25,Promenade Scenic Evening,17
Western,Maharastra,Mumbai,Gateway of India,Monument,1924,1.0,4.6,0,Yes,Monday,Historical,Yes,3.6,All,14.6,Monument Historical All,18
Western,Maharastra,Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Museum,1922,1.0,4.6,500,Yes,Monday,Historical,Yes,0.34,All,9.709999999999999,Museum Historical All,19
Western,Maharastra,Mumbai,Sanjay Gandhi National Park,National Park,1996,3.0,4.3,50,Yes,Monday,Wildlife,Yes,0.6,All,9.5,National Park Wildlife All,20
Western,Maharastra,Mumbai,Siddhivinayak Temple,Temple,1881,2.0,4.8,0,Yes,Monday,Religious,No,1.05,All,11.175,Temple Religious All,21
Western,Maharastra,Mumbai,Mahalaxmi Temple,Temple,1831,1.0,4.7,0,Yes,Monday,Religious,No,0.33,All,9.895,Temple Religious All,22
Western,Maharastra,Mumbai,Haji Ali Dargah,Religious Shrine,1431,2.0,4.4,0,Yes,Monday,Religious,No,0.16,All,9.040000000000001,Religious Shrine Religious All,23
Western,Maharastra,Mumbai,Chowpatty Beach,Beach,Unknown,2.0,4.3,0,Yes,Monday,Recreational,Yes,0.05,Evening,8.674999999999999,Beach Recreational Evening,24
Western,Maharastra,Mumbai,Essel World,Amusement Park,1986,5.0,4.3,1149,Yes,Monday,Recreational,Yes,0.27,All,9.004999999999999,Amusement Park Recreational All,25
Western,Maharastra,Mumbai,Elephanta Caves,Monument,1987,4.0,4.3,550,Yes,Monday,Historical,Yes,0.35,All ,9.125,Monument Historical All ,26
Western,Maharastra,Lonavala,Imagicaa,Amusement Park,2013,5.0,1.4,1149,No,Monday,Recreational,Yes,0.95,All,4.225,Amusement Park Recreational All,27
Southern,Karnataka,Bangalore,Bangalore Palace,Palace,1878,2.0,4.2,500,Yes,Monday,Historical,Yes,0.9,Morning,9.75,Palace Historical Morning,28
Southern,Karnataka,Bangalore,Lalbagh Botanical Garden,Botanical Garden,1760,1.5,4.4,20,Yes,Monday,Nature,Yes,1.5,Evening,11.05,Botanical Garden Nature Evening,29
Southern,Karnataka,Bangalore,Cubbon Park,Park,1870,1.0,4.4,0,Yes,Monday,Nature,Yes,1.32,Morning,10.780000000000001,Park Nature Morning,30
Southern,Karnataka,Bangalore,Vidhana Soudha,Government Building,1956,0.5,4.6,0,Yes,Monday,Architectural,No,0.8,Morning,10.399999999999999,Government Building Architectural Morning,31
Southern,Karnataka,Bangalore,ISKCON Temple Bangalore,Temple,1997,1.0,4.6,0,Yes,Monday,Religious,Yes,1.14,Evening,10.91,Temple Religious Evening,32
Southern,Telangana,Hyderabad,Charminar,Landmark,1591,1.0,4.5,25,Yes,Friday,Historical,Yes,2.1,Morning,12.15,Landmark Historical Morning,33
Southern,Telangana,Hyderabad,Golconda Fort,Fort,1600,2.0,4.4,30,Yes,Monday,Historical,Yes,1.2,Morning,10.600000000000001,Fort Historical Morning,34
Southern,Telangana,Hyderabad,Hussain Sagar Lake,Lake,1563,1.0,4.3,0,Yes,Monday,Scenic,Yes,0.5,Evening,9.35,Lake Scenic Evening,35
Southern,Telangana,Hyderabad,Ramoji Film City,Film Studio,1996,4.0,4.4,1150,Yes,Monday,Entertainment,Yes,0.45,All,9.475000000000001,Film Studio Entertainment All,36
Southern,Telangana,Hyderabad,Salar Jung Museum,Museum,1951,2.0,4.4,20,Yes,Monday,Historical,Yes,0.67,All,9.805000000000001,Museum Historical All,37
Southern,Telangana,Hyderabad,Qutb Shahi Tombs,Tombs,1600,1.0,4.4,25,Yes,Monday,Historical,Yes,0.2,Morning,9.100000000000001,Tombs Historical Morning,38
Southern,Telangana,Hyderabad,Birla Mandir,Temple,1976,1.0,4.7,0,Yes,Monday,Religious,No,0.41,All,10.015,Temple Religious All,39
Southern,Telangana,Hyderabad,Chowmahalla Palace,Palace,1800,1.5,4.4,80,Yes,Monday,Historical,Yes,0.45,Morning,9.475000000000001,Palace Historical Morning,40
Southern,Telangana,Hyderabad,Nehru Zoological Park,Zoo,1963,3.0,4.2,50,Yes,Monday,Wildlife,Yes,0.86,Morning,9.690000000000001,Zoo Wildlife Morning,41
Southern,Telangana,Hyderabad,Lumbini Park,Park,1994,1.0,4.1,20,Yes,Monday,Recreational,Yes,0.73,Evening,9.295,Park Recreational Evening,42
Eastern,West Bengal,Kolkata,Victoria Memorial,Museum,1921,1.5,4.6,30,Yes,Monday,Historical,Yes,0.73,Morning,10.295,Museum Historical Morning,43
Eastern,West Bengal,Kolkata,Howrah Bridge,Bridge,1943,0.5,4.6,0,Yes,Monday,Architectural,No,1.2,Anytime,11.0,Bridge Architectural Anytime,44
Eastern,West Bengal,Kolkata,Indian Museum,Museum,1814,2.0,4.6,50,Yes,Monday,Historical,Yes,0.18,Morning,9.469999999999999,Museum Historical Morning,45
Eastern,West Bengal,Kolkata,Dakshineswar Kali Temple,Temple,1855,1.0,4.7,0,Yes,Monday,Religious,Yes,0.82,Morning,10.63,Temple Religious Morning,46
Eastern,West Bengal,Kolkata,Kalighat Kali Temple,Temple,1809,1.0,4.4,0,Yes,Monday,Religious,Yes,0.5,Morning,9.55,Temple Religious Morning,47
